iter	Passed	Remaining
413	3127	4426
414	3187	4492
415	3200	4492
416	3230	4516
417	3252	4528
418	3261	4522
419	3271	4517
420	3278	4508
421	3289	4506
422	3316	4523
423	3337	4534
424	3344	4524
425	3351	4516
426	3360	4509
427	3368	4502
428	3375	4492
429	3382	4484
430	3390	4475
431	3400	4471
432	3408	4463
433	3416	4455
434	3423	4447
435	3432	4440
436	3439	4431
437	3447	4423
438	3455	4416
439	3464	4409
440	3471	4400
441	3479	4392
442	3487	4384
443	3494	4375
444	3503	4369
445	3511	4361
446	3520	4355
447	3527	4346
448	3537	4340
449	3547	4336
450	3555	4327
451	3563	4320
452	3571	4312
453	3579	4305
454	3586	4295
455	3594	4288
456	3603	4281
457	3614	4276
458	3621	4269
459	3630	4261
460	3637	4252
461	3646	4246
462	3661	4246
463	3670	4240
464	3680	4234
465	3688	4227
466	3698	4221
467	3707	4214
468	3714	4205
469	3721	4196
470	3729	4189
471	3736	4179
472	3744	4171
473	3753	4165
474	3762	4158
475	3769	4149
476	3777	4142
477	3784	4132
478	3793	4125
479	3800	4116
480	3809	4110
481	3817	4102
482	3825	4095
483	3832	4086
484	3840	4077
485	3846	4068
486	3854	4060
487	3861	4051
488	3867	4041
489	3875	4033
490	3881	4023
491	3888	4014
492	3894	4004
493	3902	3997
494	3907	3986
495	3913	3976
496	3921	3968
497	3927	3958
498	3933	3949
499	3940	3940
500	3950	3934
501	3964	3933
502	3976	3928
503	4006	3942
504	4023	3943
505	4040	3944
506	4065	3953
507	4076	3947
508	4085	3940
509	4099	3938
510	4112	3935
511	4122	3929
512	4132	3922
513	4144	3918
514	4160	3918
515	4173	3914
516	4182	3907
517	4188	3897
518	4196	3889
519	4205	3881
520	4220	3880
521	4239	3882
522	4248	3874
523	4260	3870
524	4267	3861
525	4274	3851
526	4280	3842
527	4286	3832
528	4295	3824
529	4303	3816
530	4311	3808
531	4320	3800
532	4329	3793
533	4339	3786
534	4345	3777
535	4352	3768
536	4359	3758
537	4367	3750
538	4375	3741
539	4381	3732
540	4389	3723
541	4395	3714
542	4403	3706
543	4411	3697
544	4419	3689
545	4426	3680
546	4433	3671
547	4441	3663
548	4448	3654
549	4455	3645
550	4464	3637
551	4469	3627
552	4477	3619
553	4486	3611
