iter	RMSE
147	17.2947986
148	17.29149214
149	17.28562348
150	17.27685264
151	17.26492281
152	17.26283184
153	17.26068778
154	17.2576066
155	17.2506508
156	17.24440565
157	17.2406054
158	17.23531329
159	17.22827518
160	17.22219575
161	17.21571203
162	17.20533064
163	17.20157552
164	17.19872367
165	17.190779
166	17.18142148
167	17.17579892
168	17.16865756
169	17.16129414
170	17.15721452
171	17.15100934
172	17.14344527
173	17.13926943
174	17.13541951
175	17.12894246
176	17.12173735
177	17.11606896
178	17.11108243
179	17.1069788
180	17.10192474
181	17.09558274
182	17.09194544
183	17.08448297
184	17.07792129
185	17.07098485
186	17.06683223
187	17.06051448
188	17.05847941
189	17.04970767
190	17.04654438
191	17.04073221
192	17.03669459
193	17.03086492
194	17.0259566
195	17.01848917
196	17.01260669
197	17.00689278
198	17.00198786
199	16.99653649
200	16.99028093
201	16.983251
202	16.97558545
203	16.96897825
204	16.96147138
205	16.95703831
206	16.95168205
207	16.94606264
208	16.93912056
209	16.93012326
210	16.92589709
211	16.91655056
212	16.91188933
213	16.90858856
214	16.90422128
215	16.89790527
216	16.89218712
217	16.88777523
218	16.8778361
219	16.87275168
220	16.86835162
221	16.86626922
222	16.86230106
223	16.85792248
224	16.85451034
225	16.85132559
226	16.84427753
227	16.8408091
228	16.83654422
229	16.83176688
230	16.82914284
231	16.82427218
232	16.81828136
233	16.81350463
234	16.80886547
235	16.80149362
236	16.79675617
237	16.79044907
238	16.78606585
239	16.78015915
240	16.77748482
241	16.77291635
242	16.77037455
243	16.76596572
244	16.76269251
245	16.75515576
246	16.74963849
247	16.74241292
248	16.73601238
249	16.72826283
250	16.72518526
251	16.7229343
252	16.71991274
253	16.71492485
254	16.71396594
255	16.70901297
256	16.70531952
257	16.69880495
258	16.69223691
259	16.68901822
260	16.68580906
261	16.68065631
262	16.67938543
263	16.67565701
264	16.6694682
265	16.66750811
266	16.66656628
267	16.66156561
268	16.65622124
269	16.65107356
270	16.64639044
271	16.64279108
272	16.63602366
273	16.63085828
274	16.62563609
275	16.62214137
276	16.61828178
277	16.61311675
278	16.61041313
279	16.60503878
280	16.6023683
281	16.5982784
282	16.59279162
283	16.58826488
284	16.58422255
285	16.57909668
286	16.5717677
287	16.56521585
288	16.55863825
289	16.55355371
290	16.54869929
291	16.54105745
292	16.53753838
293	16.53347137
294	16.52701442
295	16.52486699
296	16.52043124
297	16.51218099
298	16.50858049
299	16.50628087
300	16.50384232
301	16.49740249
302	16.49432365
303	16.48987331
304	16.48287257
305	16.47686092
306	16.47537326
307	16.47068371
308	16.46875438
309	16.4626269
310	16.45912638
311	16.45619373
312	16.44719773
313	16.44109207
314	16.43635415
315	16.43357397
316	16.4263997
317	16.41838031
318	16.41176704
319	16.40690201
320	16.40006148
321	16.39555119
322	16.39096882
323	16.3889403
324	16.38567149
325	16.38287891
326	16.38120405
327	16.3767147
328	16.37308422
329	16.36903539
330	16.3662395
331	16.36545945
332	16.36239451
333	16.3582135
334	16.35423484
335	16.34858449
336	16.34629808
337	16.34341539
338	16.33882922
339	16.33394732
340	16.32714295
341	16.32189403
342	16.32093895
343	16.3191138
344	16.31490405
345	16.30996973
346	16.3093079
347	16.30284276
348	16.2968693
349	16.28674133
350	16.28246639
351	16.27986245
352	16.27582089
353	16.26933268
354	16.26507287
355	16.25611726
356	16.25208833
357	16.24677564
358	16.24191008
359	16.23721407
360	16.23631466
361	16.23067256
362	16.22785752
363	16.2219692
364	16.21765176
365	16.21248933
366	16.20715873
367	16.19906618
368	16.19533797
369	16.18899558
370	16.1817293
371	16.17766836
372	16.17290594
373	16.16837139
374	16.16179596
375	16.15721845
376	16.1528423
377	16.14815502
378	16.1413716
379	16.13527069
380	16.13040536
381	16.12641591
382	16.12300884
383	16.11820199
384	16.11643139
385	16.11213664
386	16.10907917
387	16.10599476
388	16.1013298
389	16.09809012
390	16.09514182
391	16.09270514
392	16.08838535
393	16.08242646
394	16.08051772
395	16.07805444
396	16.07572026
397	16.06852446
398	16.06386753
399	16.0612998
400	16.05546689
401	16.05099686
402	16.04429128
403	16.04128779
404	16.03761984
405	16.03495714
406	16.03118007
407	16.02671466
408	16.02118543
409	16.01767174
410	16.01507064
411	16.01029656
412	16.0059159
413	16.00334597
414	15.99874151
415	15.99146662
416	15.98585371
417	15.98144965
418	15.97847691
419	15.97143012
420	15.96702423
421	15.96232857
422	15.95742978
423	15.95413042
424	15.95092905
425	15.95014308
426	15.94613375
427	15.93866533
428	15.93505921
429	15.92931888
430	15.92583575
431	15.92459993
432	15.92100519
433	15.91656782
434	15.91231964
435	15.90732716
436	15.90492414
437	15.90150995
438	15.89886504
439	15.89234066
440	15.88819908
441	15.88441531
442	15.88170052
443	15.8745991
444	15.870033
445	15.86582698
446	15.86185027
447	15.85822081
448	15.85425764
449	15.85024212
450	15.84451445
451	15.84163009
452	15.83550204
453	15.82981584
454	15.82304228
455	15.81918669
456	15.81516493
457	15.81112816
458	15.80849454
459	15.80202522
460	15.79811604
461	15.79503213
462	15.78952619
463	15.78617433
464	15.78200151
465	15.77727477
466	15.77357106
467	15.76849397
468	15.76600792
469	15.76094402
470	15.75847193
471	15.7546078
472	15.75194958
473	15.74811163
474	15.74297295
475	15.73897245
476	15.73063684
477	15.72330475
478	15.71665363
479	15.71411332
480	15.71148592
481	15.70908651
482	15.70535347
483	15.70162853
484	15.69686116
485	15.69377309
486	15.69059145
487	15.68508583
488	15.68164449
489	15.67792622
490	15.67558707
491	15.67097082
492	15.66441447
493	15.66090037
494	15.65457447
495	15.65064516
496	15.64796296
497	15.64281932
498	15.63757188
499	15.63532461
500	15.63139624
501	15.62728175
502	15.62068207
503	15.61661051
504	15.6103323
505	15.60611948
506	15.60385601
507	15.60178473
508	15.59790211
509	15.5936989
510	15.59096102
511	15.58686491
512	15.58282095
513	15.57543331
514	15.57004749
515	15.5645156
516	15.56130223
517	15.55856519
518	15.55474745
519	15.54973599
520	15.54337512
521	15.53982345
522	15.53779813
523	15.53643099
524	15.53360781
525	15.52914536
526	15.52440056
527	15.51861294
528	15.51217758
529	15.50534746
530	15.50176194
531	15.49738623
532	15.49325904
533	15.4892538
534	15.4860003
535	15.48226122
536	15.47837027
537	15.47504393
538	15.47132455
539	15.466975
540	15.46303207
541	15.45724554
542	15.4542289
543	15.44997577
544	15.44674001
545	15.44502713
546	15.44089861
547	15.43730561
548	15.43339114
549	15.42913471
550	15.42400833
551	15.42156946
552	15.41810442
553	15.41378168
554	15.40760886
555	15.40328186
556	15.398495
557	15.39413769
558	15.38946797
559	15.38546007
560	15.38417489
561	15.37919437
562	15.37492116
563	15.37086711
564	15.3677595
565	15.36427375
566	15.36109035
567	15.35688723
568	15.35526781
569	15.3538412
570	15.34794825
571	15.34346111
572	15.33892536
573	15.33386935
574	15.32922807
575	15.32772004
576	15.32531536
577	15.32038034
578	15.31749664
579	15.31103195
580	15.30720406
581	15.30416309
582	15.30117553
583	15.29801528
584	15.29565336
585	15.29257726
586	15.29079436
587	15.28801961
588	15.28226399
589	15.27867694
590	15.27425101
591	15.26963725
592	15.26747975
593	15.26355035
594	15.25955582
595	15.25478173
596	15.25170461
597	15.24583588
598	15.24115119
599	15.23737398
600	15.23490764
601	15.23023351
602	15.22780268
603	15.22201919
604	15.21469882
605	15.20985642
606	15.20622717
607	15.204204
608	15.20204708
609	15.19934001
610	15.19641784
611	15.19332183
612	15.18879684
613	15.18471393
614	15.18033716
615	15.17552915
616	15.17051479
617	15.16887815
618	15.16080022
619	15.1579753
620	15.15569942
621	15.15106216
622	15.14902874
623	15.1470336
624	15.14296493
625	15.14021598
626	15.13389927
627	15.13203364
628	15.12711813
629	15.12327097
630	15.12230257
631	15.11836557
632	15.11561087
633	15.11167465
634	15.10784102
635	15.10569629
636	15.10227842
637	15.09929657
638	15.09476494
639	15.09293536
640	15.09037692
641	15.08584066
642	15.08451033
643	15.08090969
644	15.07834429
645	15.07361501
646	15.07119255
647	15.06642545
648	15.06417125
649	15.06091706
650	15.05358047
651	15.05079546
652	15.04515245
653	15.04399164
654	15.04100779
655	15.03825436
656	15.0324677
657	15.02886172
658	15.02579346
659	15.02090247
660	15.01820569
661	15.01476485
662	15.00830358
663	15.00263166
664	14.99948264
665	14.99492218
666	14.99312906
667	14.99025695
668	14.98501767
669	14.9789443
670	14.97459345
671	14.96953651
672	14.96588112
673	14.96316621
674	14.95981429
675	14.95746919
676	14.95171968
677	14.94742477
678	14.94345941
679	14.94012745
680	14.93540033
681	14.93108842
682	14.92874504
683	14.9249418
684	14.91917331
685	14.91729709
686	14.91263952
687	14.90759516
688	14.90495224
689	14.90314186
690	14.89769642
691	14.89187889
692	14.88529424
693	14.88313339
694	14.87948869
695	14.87557777
696	14.87093716
697	14.86940446
698	14.86702969
699	14.86404724
700	14.86063098
701	14.85680161
702	14.85041687
703	14.8477701
704	14.84434183
705	14.83977202
706	14.83698385
707	14.8332442
708	14.82977031
709	14.82537705
710	14.82151182
711	14.8184427
712	14.8141379
713	14.80965689
714	14.80493154
715	14.80319073
716	14.79904736
717	14.79568794
718	14.79154188
719	14.78990038
720	14.78394485
721	14.78215072
722	14.78149205
723	14.77943239
724	14.77667254
725	14.77240459
726	14.768768
727	14.76775637
728	14.7658809
729	14.76307605
730	14.75981062
731	14.75663666
732	14.75349279
733	14.75025011
734	14.74680948
735	14.7434454
736	14.7366709
737	14.73288883
738	14.72979833
739	14.72838435
740	14.72535936
741	14.72224764
742	14.7204261
743	14.71657722
744	14.71385449
745	14.70991237
746	14.70854755
747	14.70457181
748	14.69913703
749	14.69661766
750	14.69133533
751	14.68941643
752	14.68679549
753	14.68304319
754	14.67963921
755	14.67395698
756	14.67026764
757	14.67017717
758	14.66576834
759	14.66143742
760	14.65910032
761	14.65382932
762	14.64887232
763	14.64482861
764	14.63972818
765	14.63721129
766	14.63443418
767	14.63314752
768	14.63200669
769	14.62719713
770	14.62336915
771	14.62172662
772	14.61694451
773	14.61348659
774	14.60562505
775	14.60439207
776	14.60174625
777	14.59910184
778	14.59559899
779	14.59551244
780	14.59144892
781	14.58837751
782	14.58564308
783	14.58185578
784	14.5793525
785	14.57640072
786	14.57322326
787	14.57200773
788	14.56786437
789	14.56452991
790	14.56163041
791	14.55842736
792	14.5559964
793	14.55288394
794	14.54892724
795	14.54252072
796	14.53928558
797	14.5355554
798	14.52819793
799	14.52397604
800	14.51797264
801	14.51562318
802	14.51238675
803	14.5085392
804	14.5044889
805	14.50198651
806	14.50089731
807	14.49885335
808	14.49303494
809	14.4922115
810	14.4900691
811	14.48623129
812	14.48225598
813	14.47944718
814	14.47601313
815	14.47161558
816	14.46817969
817	14.46379477
818	14.46144688
819	14.45972331
820	14.45705486
821	14.45250359
822	14.44997605
823	14.44676067
824	14.4449091
825	14.44303997
826	14.43997647
827	14.43876346
828	14.43579944
829	14.43366772
830	14.43083909
831	14.42780479
832	14.42547153
833	14.42112705
834	14.41964826
835	14.41607562
836	14.41120265
837	14.40788055
838	14.40257232
839	14.39853502
840	14.3945332
841	14.3921957
842	14.38871612
843	14.38482313
844	14.38286986
845	14.37735527
846	14.37322574
847	14.37167564
848	14.3680418
849	14.36372255
850	14.36082101
851	14.35711747
852	14.35234124
853	14.35086796
854	14.34863995
855	14.34754683
856	14.34421123
857	14.34213477
858	14.33704166
859	14.33192749
860	14.32904923
861	14.32453024
862	14.31910409
863	14.31635352
864	14.31307963
865	14.30699308
866	14.30402536
867	14.29983224
868	14.29829466
869	14.29133151
870	14.28802198
871	14.28464194
872	14.27915669
873	14.27485978
874	14.2741053
875	14.27213969
876	14.26957775
877	14.26680082
878	14.26105461
879	14.2587379
880	14.25707434
881	14.25328544
882	14.24725666
883	14.2424761
884	14.23742045
885	14.23496717
886	14.23093934
887	14.22904633
888	14.22430992
889	14.22224054
890	14.21790375
891	14.21556621
892	14.21274901
893	14.20821657
894	14.2055935
895	14.20058665
896	14.19785078
897	14.19482868
898	14.1918018
899	14.18605294
900	14.18332348
901	14.1801498
902	14.17595012
903	14.17281088
904	14.16928413
905	14.16583952
906	14.16296461
907	14.15997011
908	14.15821123
909	14.15396674
910	14.15144898
911	14.14468595
912	14.14039817
913	14.13685991
914	14.13319367
915	14.1312615
916	14.12889522
917	14.1258949
918	14.12147005
919	14.11900269
920	14.11672882
921	14.11380885
922	14.11229083
923	14.11058075
924	14.10757424
925	14.10371725
926	14.10169694
927	14.09986033
928	14.09492742
929	14.08889749
930	14.08599421
931	14.08465165
932	14.08297158
933	14.08126233
934	14.07601632
935	14.07257364
936	14.06627249
937	14.06410799
938	14.05838562
939	14.05363252
940	14.0498954
941	14.04601987
942	14.04242548
943	14.03956657
944	14.039532
945	14.03671668
946	14.0347825
947	14.03232456
948	14.0290769
949	14.0262401
950	14.02282665
951	14.01730829
952	14.01418155
953	14.01006831
954	14.00587081
955	14.00294643
956	14.00126378
957	13.99907853
958	13.99504511
959	13.99128771
960	13.98753359
961	13.98428443
962	13.98086965
963	13.97580946
964	13.97342631
965	13.97047341
966	13.96677927
967	13.96341111
968	13.95989899
969	13.95621961
970	13.95486053
971	13.95177416
972	13.94869032
973	13.9470404
974	13.94569715
975	13.94241425
976	13.93916843
977	13.93551673
978	13.93305939
979	13.93016978
980	13.92528192
981	13.92220842
982	13.91984529
983	13.91809801
984	13.91418997
985	13.90766056
986	13.90512751
987	13.90158424
988	13.89714489
989	13.89395642
990	13.89152128
991	13.88789572
992	13.88305432
993	13.88010631
994	13.87720747
995	13.87423249
996	13.869712
997	13.8656496
998	13.86275208
999	13.86124471
